Dynamic Supplier Code,Name,Reseller Price Ex GST,Manufacturer,Category,Weight,Manufacturer OEM Code,Printer Compatibility,Cartridge Yield,Cartridge Type,/////,////,Length,Width,Height,Brisbane,Melbourne,Perth,Adelaide,Sydney,Barcode
B233M,Brother LC233 Magenta Ink Cart,20.59,Brother,CON-INK,0.064,LC-233M,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW,BROTHER MFC J880DW,BROTHER MFCJ680DW,BROTHER DCPJ562DW",Up to 550 pages,Magenta,0.00042,BRO-INK-AU,0.1,0.03,0.14,>5,>5,>5,>5,>5,4.97777E+12
B233PVP,Brother LC233 Photo Value Pack,92.38,Brother,CON-INK,0.428,LC-233PVP,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW,BROTHER MFC J880DW,BROTHER MFCJ680DW,BROTHER DCPJ562DW",Refer to singles,Misc Consumables,0.00182,BRO-INK-AU,0.12,0.08,0.19,>5,>5,>5,>5,>5,4.97777E+12
B233Y,Brother LC233 Yellow Ink Cart,20.59,Brother,CON-INK,0.064,LC-233Y,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW,BROTHER MFC J880DW,BROTHER MFCJ680DW,BROTHER DCPJ562DW",Up to 550 pages,Yellow,0.00042,BRO-INK-AU,0.1,0.03,0.14,>5,>5,>5,>5,>5,4.97777E+12
B235XLC,Brother LC235XL Cyan Ink Cart,24.41,Brother,CON-INK,0.059,LC-235XLC,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW","Up to 1,200 pages",Cyan,0.00042,BRO-INK-AU,0.1,0.03,0.14,>5,>5,>5,>5,>5,4.97777E+12
B235XLCMY,Brother LC235XL CMY Colour Pck,67.95,Brother,CON-INK,0.161,LC-235XLCL3PK,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW","Up to 1,200 pages each",Misc Consumables,0.0007,BRO-INK-AU,0.1,0.05,0.14,>5,>5,>5,>5,>5,4.97777E+12
B235XLM,Brother LC235XL Mag Ink Cart,24.41,Brother,CON-INK,0.059,LC-235XLM,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW","Up to 1,200 pages",Magenta,0.00042,BRO-INK-AU,0.1,0.03,0.14,>5,>5,>5,>5,>5,4.97777E+12
B235XLY,Brother LC235XL Yell Ink Cart,24.41,Brother,CON-INK,0.059,LC-235XLY,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW","Up to 1,200 pages",Yellow,0.00042,BRO-INK-AU,0.1,0.03,0.14,>5,>5,>5,>5,>5,4.97777E+12
B237XLB,Brother LC237XL Black Ink Cart,38.16,Brother,CON-INK,0.082,LC-237XLBK,"BROTHER DCP J4120DW,BROTHER MFC J4620DW","Up to 1,200 pages",Black,0.00056,BRO-INK-AU,0.1,0.04,0.14,>5,>5,>5,>5,>5,4.97777E+12
B239XLB,Brother LC239XL Black Ink Cart,37.26,Brother,CON-INK,0.06,LC-239XLBK,"BROTHER MFC J5320DW,BROTHER MFC J5720DW","Up to 2,400 pages",Black,0.00084,BRO-INK-AU,0.06,0.1,0.14,>5,>5,>5,>5,>5,4.97777E+12
B301,Brother PC301 Cartridge,28.31,Brother,CON-FAX,0.402,PC-301,"BROTHER FAX 750,BROTHER FAX 770,BROTHER FAX 870MC,BROTHER FAX 920,BROTHER FAX 930,BROTHER FAX 970,BROTHER MFC970",250 pages,Fax Film,0.00327,BRO-FAX,0.17,0.275,0.07,0,>5,0,0,0,4.97777E+12
B302,Brother PC302RF Refill Rolls,44.95,Brother,CON-FAX,0.544,PC-302RF,"BROTHER FAX 750,BROTHER FAX 770,BROTHER FAX 870MC,BROTHER FAX 920,BROTHER FAX 930,BROTHER FAX 970,BROTHER MFC 970",235 pages each,Fax Film,0.00117,BRO-FAX,0.23,0.076,0.067,0,2,0,0,0,4.97777E+12
B3317B,Brother LC3317 Black Ink Cart,31.29,Brother,CON-INK,0.041,LC-3317BK,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 550 pages,Black,0.00014,BRO-INK-AU,0.01,0.09,0.15,>5,>5,>5,>5,>5,4.97777E+12
B3317C,Brother LC3317 Cyan Ink Cart,20.6,Brother,CON-INK,0.041,LC-3317C,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 550 pages,Cyan,0.00014,BRO-INK-AU,0.01,0.09,0.15,>5,>5,>5,>5,>5,4.97777E+12
B3317CMY,Brother LC3317 CMY Colour Pack,57.25,Brother,CON-INK,0.014,LC-33173PK,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",Up to 550 pages each,Misc Consumables,0.00054,BRO-INK-AU,0.09,0.12,0.05,>5,>5,>5,>5,>5,4.97777E+12
B3317M,Brother LC3317 Mag Ink Cart,20.6,Brother,CON-INK,0.041,LC-3317M,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 550 pages,Magenta,0.00014,BRO-INK-AU,0.01,0.09,0.15,>5,>5,>5,>5,>5,4.97777E+12
B3317Y,Brother LC3317 Yell Ink Cart,20.6,Brother,CON-INK,0.041,LC-3317Y,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 550 pages,Yellow,0.00014,BRO-INK-AU,0.01,0.09,0.15,>5,>5,>5,>5,>5,4.97777E+12
B3319XLB,Brother LC3319XL Blk Ink Cart,47.74,Brother,CON-INK,0.124,LC-3319XLBK,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 3000 pages,Black,0.00046,BRO-INK-AU,0.03,0.09,0.17,>5,>5,>5,>5,>5,4.97777E+12
B3319XLC,Brother LC3319XL Cyan Ink Cart,30.53,Brother,CON-INK,0.053,LC-3319XLC,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 1500 pages,Cyan,0.00011,BRO-INK-AU,0.01,0.08,0.14,>5,>5,>5,>5,>5,4.97777E+12
B3319XLCMY,Brother LC3319XL CMY Colour Pk,85.42,Brother,CON-INK,0.17,LC-3319XL3PK,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 1500 pages each,Misc Consumables,0.00054,BRO-INK-AU,0.12,0.09,0.05,>5,>5,>5,>5,>5,4.97777E+12
B3319XLM,Brother LC3319XL Mag Ink Cart,30.53,Brother,CON-INK,0.053,LC-3319XLM,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 1500 pages,Magenta,0.00011,BRO-INK-AU,0.01,0.08,0.14,>5,>5,>5,>5,>5,4.97777E+12
B3319XLY,Brother LC3319XL Yell Ink Cart,30.53,Brother,CON-INK,0.053,LC-3319XLY,"BROTHER MFC J5330DW,BROTHER MFC J5730DW,BROTHER MFC J6530DW,BROTHER MFC J6730DW,BROTHER MFC J6930DW",up to 1500 pages,Yellow,0.00011,BRO-INK-AU,0.01,0.08,0.14,>5,>5,>5,>5,>5,4.97777E+12
B37B,Brother LC37 Black Ink Cart,24.79,Brother,CON-INK,0.065,LC-37BK,"BROTHER DCP 135C,BROTHER DCP 150C,BROTHER MFC 260C,BROTHER MFC 235C",350 pages,Black,0.00034,BRO-INK,0.142,0.097,0.025,>5,>5,>5,>5,>5,4.97777E+12
B37C,Brother LC37 Cyan Ink Cart,15.04,Brother,CON-INK,0.065,LC-37C,"BROTHER DCP 135C,BROTHER DCP 150C,BROTHER MFC 260C,BROTHER MFC 235C",300 pages,Cyan,0.00029,BRO-INK,0.142,0.097,0.021,>5,>5,>5,>5,>5,4.97777E+12
B37CMY,Brother LC37 CMY Colour Pack,42.21,Brother,CON-INK,0.297,LC-37CL3PK,"BROTHER DCP 135C,BROTHER DCP 150C,BROTHER MFC 260C,BROTHER MFC 235C",300 pages each,Colour,0.00198,BRO-INK,0.3,0.22,0.03,>5,>5,>5,>5,>5,4.97777E+12
B37M,Brother LC37 Magenta Ink Cart,15.04,Brother,CON-INK,0.065,LC-37M,"BROTHER DCP 135C,BROTHER DCP 150C,BROTHER MFC 260C,BROTHER MFC 235C",300 pages,Magenta,0.00029,BRO-INK,0.142,0.097,0.021,>5,>5,>5,>5,>5,4.97777E+12
B37PVP,Brother LC37 Photo Value Pack,70.07,Brother,CON-INK,0.407,LC-37PVP,"BROTHER DCP 135C,BROTHER DCP 150C,BROTHER MFC 260C,BROTHER MFC 235C",Refer to singles,Misc Consumables,0.0017,BRO-INK,0.187,0.055,0.165,0,0,0,0,0,4.97777E+12
B37Y,Brother LC37 Yellow Ink Cart,15.04,Brother,CON-INK,0.065,LC-37Y,"BROTHER DCP 135C,BROTHER DCP 150C,BROTHER MFC 260C,BROTHER MFC 235C",300 pages,Yellow,0.00029,BRO-INK,0.142,0.097,0.021,>5,>5,>5,>5,>5,4.97777E+12
B38B,Brother LC38 Black Ink Cart,23.76,Brother,CON-INK,0.06,LC-38BK,"BROTHER DCP 145C,BROTHER DCP 165C,BROTHER DCP 195C,BROTHER DCP 375CW,BROTHER MFC 250C,BROTHER MFC 290C,BROTHER MFC 295CN,BROTHER MFC 255CW,BROTHER MFC 257CW",300 pages,Black,0.00026,BRO-INK,0.085,0.025,0.12,>5,>5,>5,>5,>5,4.97777E+12
B38BT,Brother LC38 Black Twin Pack,44.44,Brother,CON-INK,0.12,LC-38BK2PK,"BROTHER DCP 145C,BROTHER DCP 165C,BROTHER DCP 195C,BROTHER DCP 375CW,BROTHER MFC 250C,BROTHER MFC 290C,BROTHER MFC 295CN,BROTHER MFC 255CW,BROTHER MFC 257CW",300 pages each,Black,0.00052,BRO-INK,0.122,0.05,0.085,>5,0,0,>5,>5,4.97777E+12
B38C,Brother LC38 Cyan Ink Cart,14.1,Brother,CON-INK,0.056,LC-38C,"BROTHER DCP 145C,BROTHER DCP 165C,BROTHER DCP 195C,BROTHER DCP 375CW,BROTHER MFC 250C,BROTHER MFC 290C,BROTHER MFC 295CN,BROTHER MFC 255CW,BROTHER MFC 257CW",260 pages,Cyan,0.00026,BRO-INK,0.085,0.025,0.12,>5,>5,>5,>5,>5,4.97777E+12
B38CMY,Brother LC38 CMY Colour Pack,38.98,Brother,CON-INK,0.193,LC-38CL3PK,"BROTHER DCP 145C,BROTHER DCP 165C,BROTHER DCP 195C,BROTHER DCP 375CW,BROTHER MFC 250C,BROTHER MFC 290C,BROTHER MFC 295CN,BROTHER MFC 255CW,BROTHER MFC 257CW",260 pages each,Colour,0.00144,BRO-INK,0.12,0.075,0.16,>5,>5,0,>5,>5,4.97777E+12
B38M,Brother LC38 Magenta Ink Cart,14.1,Brother,CON-INK,0.056,LC-38M,"BROTHER DCP 145C,BROTHER DCP 165C,BROTHER DCP 195C,BROTHER DCP 375CW,BROTHER MFC 250C,BROTHER MFC 290C,BROTHER MFC 295CN,BROTHER MFC 255CW,BROTHER MFC 257CW",260 pages,Magenta,0.00026,BRO-INK,0.085,0.025,0.12,>5,>5,>5,>5,>5,4.97777E+12
